apps,bondmode,time
is,Balance_Round_Robin-4NICs-layer2,8.24
bt,Balance_Round_Robin-4NICs-layer2,181.78
bt,Balance_Round_Robin-4NICs-layer2,181.76
ft,Balance_Round_Robin-4NICs-layer2,80.78
ft,Balance_Round_Robin-4NICs-layer2,81.76
ft,Balance_Round_Robin-4NICs-layer2,79.83
alya,Balance_Round_Robin-4NICs-layer2,899.97
ft,Balance_Round_Robin-4NICs-layer2,80.68
alya,Balance_Round_Robin-4NICs-layer2,898.38
is,Balance_Round_Robin-4NICs-layer2,8.11
alya,Balance_Round_Robin-4NICs-layer2,902.98
bt,Balance_Round_Robin-4NICs-layer2,181.95
is,Balance_Round_Robin-4NICs-layer2,7.93
ft,Balance_Round_Robin-4NICs-layer2,80.94
bt,Balance_Round_Robin-4NICs-layer2,182.07
alya,Balance_Round_Robin-4NICs-layer2,900.56
alya,Balance_Round_Robin-4NICs-layer2,896.46
alya,Balance_Round_Robin-4NICs-layer2,999.20
alya,Balance_Round_Robin-4NICs-layer2,900.82
is,Balance_Round_Robin-4NICs-layer2,7.95
bt,Balance_Round_Robin-4NICs-layer2,181.29
ft,Balance_Round_Robin-4NICs-layer2,80.71
sp,Balance_Round_Robin-4NICs-layer2,205.67
alya,Balance_Round_Robin-4NICs-layer2,900.15
alya,Balance_Round_Robin-4NICs-layer2,898.28
sp,Balance_Round_Robin-4NICs-layer2,206.24
ft,Balance_Round_Robin-4NICs-layer2,79.17
alya,Balance_Round_Robin-4NICs-layer2,901.05
bt,Balance_Round_Robin-4NICs-layer2,181.70
bt,Balance_Round_Robin-4NICs-layer2,181.83
sp,Balance_Round_Robin-4NICs-layer2,205.54
