apps,bondmode,bytes,time,mbytes-sec
intel,802.3ad-4NICs-layer2,1024,28.20,36.31
intel,802.3ad-4NICs-layer2,2048,31.52,64.98
intel,802.3ad-4NICs-layer2,4096,39.09,104.79
intel,802.3ad-4NICs-layer2,8192,46.67,175.53
intel,802.3ad-4NICs-layer2,16384,61.00,268.60
intel,802.3ad-4NICs-layer2,32768,52.78,620.87
intel,802.3ad-4NICs-layer2,65536,111.09,589.93
intel,802.3ad-4NICs-layer2,131072,163.15,803.36
intel,802.3ad-4NICs-layer2,262144,259.66,1009.58
intel,802.3ad-4NICs-layer2,524288,430.98,1216.51
intel,802.3ad-4NICs-layer2,1048576,778.70,1346.57
intel,802.3ad-4NICs-layer2,2097152,1635.77,1282.06
intel,802.3ad-4NICs-layer2,4194304,3249.23,1290.86
intel,802.3ad-4NICs-layer2,0,27.20,0.00
intel,802.3ad-4NICs-layer2,1,26.17,0.04
intel,802.3ad-4NICs-layer2,2,26.46,0.08
intel,802.3ad-4NICs-layer2,4,26.16,0.15
intel,802.3ad-4NICs-layer2,8,26.25,0.30
intel,802.3ad-4NICs-layer2,16,27.02,0.59
intel,802.3ad-4NICs-layer2,32,26.80,1.19
intel,802.3ad-4NICs-layer2,64,26.88,2.38
intel,802.3ad-4NICs-layer2,128,26.98,4.74
intel,802.3ad-4NICs-layer2,256,27.11,9.44
intel,802.3ad-4NICs-layer2,512,27.74,18.46
intel,802.3ad-4NICs-layer2,1024,28.95,35.37
intel,802.3ad-4NICs-layer2,2048,31.95,64.09
intel,802.3ad-4NICs-layer2,4096,39.25,104.35
intel,802.3ad-4NICs-layer2,8192,45.76,179.03
intel,802.3ad-4NICs-layer2,16384,67.12,244.11
intel,802.3ad-4NICs-layer2,32768,88.75,369.23
intel,802.3ad-4NICs-layer2,65536,111.10,589.87
intel,802.3ad-4NICs-layer2,131072,164.06,798.90
intel,802.3ad-4NICs-layer2,262144,254.65,1029.43
intel,802.3ad-4NICs-layer2,524288,430.37,1218.22
intel,802.3ad-4NICs-layer2,1048576,778.25,1347.35
intel,802.3ad-4NICs-layer2,2097152,1631.25,1285.61
intel,802.3ad-4NICs-layer2,4194304,3271.74,1281.98
intel,802.3ad-4NICs-layer2,0,27.17,0.00
intel,802.3ad-4NICs-layer2,1,26.09,0.04
intel,802.3ad-4NICs-layer2,2,26.11,0.08
intel,802.3ad-4NICs-layer2,4,25.99,0.15
intel,802.3ad-4NICs-layer2,8,25.91,0.31
intel,802.3ad-4NICs-layer2,16,26.20,0.61
intel,802.3ad-4NICs-layer2,32,26.28,1.22
intel,802.3ad-4NICs-layer2,64,26.36,2.43
intel,802.3ad-4NICs-layer2,128,26.62,4.81
intel,802.3ad-4NICs-layer2,256,26.80,9.55
intel,802.3ad-4NICs-layer2,512,27.59,18.56
intel,802.3ad-4NICs-layer2,1024,28.40,36.06
intel,802.3ad-4NICs-layer2,2048,31.60,64.81
intel,802.3ad-4NICs-layer2,4096,39.07,104.83
intel,802.3ad-4NICs-layer2,8192,47.88,171.11
intel,802.3ad-4NICs-layer2,16384,69.39,236.11
intel,802.3ad-4NICs-layer2,32768,81.17,403.69
intel,802.3ad-4NICs-layer2,65536,117.05,559.91
intel,802.3ad-4NICs-layer2,131072,173.10,757.19
intel,802.3ad-4NICs-layer2,262144,288.35,909.11
intel,802.3ad-4NICs-layer2,524288,488.50,1073.26
intel,802.3ad-4NICs-layer2,1048576,810.40,1293.90
intel,802.3ad-4NICs-layer2,2097152,1823.44,1150.10
intel,802.3ad-4NICs-layer2,4194304,3571.73,1174.31
