apps,bondmode,time
bt,802.3ad-4NICs-layer2,175.70
alya,802.3ad-4NICs-layer2,897.20
lu,802.3ad-4NICs-layer2,157.07
lu,802.3ad-4NICs-layer2,107.73
ft,802.3ad-4NICs-layer2,93.85
is,802.3ad-4NICs-layer2,9.24
ft,802.3ad-4NICs-layer2,93.53
cg,802.3ad-4NICs-layer2,121.75
lu,802.3ad-4NICs-layer2,107.11
alya,802.3ad-4NICs-layer2,903.23
mg,802.3ad-4NICs-layer2,54.16
lu,802.3ad-4NICs-layer2,109.80
is,802.3ad-4NICs-layer2,9.34
ep,802.3ad-4NICs-layer2,183.26
lu,802.3ad-4NICs-layer2,109.41
sp,802.3ad-4NICs-layer2,192.87
cg,802.3ad-4NICs-layer2,44.81
ep,802.3ad-4NICs-layer2,29.74
lu,802.3ad-4NICs-layer2,107.62
alya,802.3ad-4NICs-layer2,900.45
cg,802.3ad-4NICs-layer2,44.51
cg,802.3ad-4NICs-layer2,44.65
is,802.3ad-4NICs-layer2,9.31
mg,802.3ad-4NICs-layer2,12.48
bt,802.3ad-4NICs-layer2,176.93
sp,802.3ad-4NICs-layer2,193.13
sp,802.3ad-4NICs-layer2,233.12
mg,802.3ad-4NICs-layer2,12.67
ep,802.3ad-4NICs-layer2,29.93
cg,802.3ad-4NICs-layer2,44.69
lu,802.3ad-4NICs-layer2,108.80
cg,802.3ad-4NICs-layer2,203.20
bt,802.3ad-4NICs-layer2,175.60
cg,802.3ad-4NICs-layer2,44.34
sp,802.3ad-4NICs-layer2,443.58
mg,802.3ad-4NICs-layer2,12.13
mg,802.3ad-4NICs-layer2,12.33
is,802.3ad-4NICs-layer2,9.32
sp,802.3ad-4NICs-layer2,191.92
lu,802.3ad-4NICs-layer2,107.30
alya,802.3ad-4NICs-layer2,900.05
bt,802.3ad-4NICs-layer2,176.21
cg,802.3ad-4NICs-layer2,44.46
cg,802.3ad-4NICs-layer2,44.73
is,802.3ad-4NICs-layer2,9.22
cg,802.3ad-4NICs-layer2,44.74
cg,802.3ad-4NICs-layer2,44.85
is,802.3ad-4NICs-layer2,17.14
sp,802.3ad-4NICs-layer2,194.16
alya,802.3ad-4NICs-layer2,901.69
is,802.3ad-4NICs-layer2,9.28
mg,802.3ad-4NICs-layer2,12.49
cg,802.3ad-4NICs-layer2,44.69
sp,802.3ad-4NICs-layer2,381.49
ep,802.3ad-4NICs-layer2,29.72
ft,802.3ad-4NICs-layer2,93.77
