Class,Vms/NICs,Percent
H,4-2,14.9
H,4-4,25.7
H,2-2,10.0
H,2-4,12.6
H,0-2,7.3
H,0-4,7.1
M,4-2,4.3
M,4-4,-2.2
M,2-2,4.3
M,2-4,0.2
M,0-2,2.9
M,0-4,-21.5
L,4-2,2.0
L,4-4,-15.6
L,2-2,2.4
L,2-4,-6.3
L,0-2,2.9
L,0-4,-21.7
