Class,Vms/NICs,Percent
H,4-2,37.2
H,4-4,44.1
H,2-2,27.6
H,2-4,34.7
H,0-2,32.2
H,0-4,54.1
M,4-2,3.1
M,4-4,4.0
M,2-2,4.2
M,2-4,4.2
M,0-2,2.3
M,0-4,3.1
L,4-2,0.7
L,4-4,-1.5
L,2-2,1.5
L,2-4,2.3
L,0-2,2.5
L,0-4,3.2
