Class,Vms/NICs,Percent
H,4-2,19.1
H,4-4,13.9
H,2-2,15.9
H,2-4,19.4
H,0-2,22.9
H,0-4,42.8
M,4-2,-1.2
M,4-4,6.4
M,2-2,-0.1
M,2-4,4.1
M,0-2,-0.5
M,0-4,34.3
L,4-2,-1.2
L,4-4,17.1
L,2-2,-0.8
L,2-4,9.2
L,0-2,-0.4
L,0-4,35.2
