Class,Vms/NICs,Percent
H,4-2,51.4
H,4-4,74.7
H,2-2,121.0
H,2-4,51.0
H,0-2,40.9
H,0-4,42.0
M,4-2,12.9
M,4-4,4.9
M,2-2,46.3
M,2-4,8.1
M,0-2,3.9
M,0-4,4.9
L,4-2,1.3
L,4-4,-0.5
L,2-2,50.1
L,2-4,2.9
L,0-2,4.1
L,0-4,5.1
