Class,Vms/NICs,Percent
H,4-2,21.0
H,4-4,39.6
H,2-2,6.8
H,2-4,24.5
H,0-2,6.8
H,0-4,-8.6
M,4-2,13.3
M,4-4,5.4
M,2-2,1.4
M,2-4,5.9
M,0-2,9.4
M,0-4,-6.1
L,4-2,3.8
L,4-4,-29.2
L,2-2,-2.6
L,2-4,-7.9
L,0-2,9.7
L,0-4,-27.6
