apps,bondmode,time
bt,802.3ad-4NICs-layer2,1082.80
bt,802.3ad-4NICs-layer2,1089.21
bt,802.3ad-4NICs-layer2,1088.86
sp,802.3ad-4NICs-layer2,1028.17
sp,802.3ad-4NICs-layer2,921.80
sp,802.3ad-4NICs-layer2,1883.44
sp,802.3ad-4NICs-layer2,1896.17
sp,802.3ad-4NICs-layer2,1809.74
sp,802.3ad-4NICs-layer2,1875.87
sp,802.3ad-4NICs-layer2,1837.18
sp,802.3ad-4NICs-layer2,1877.26
sp,802.3ad-4NICs-layer2,1021.66
sp,802.3ad-4NICs-layer2,1587.74
sp,802.3ad-4NICs-layer2,483.65
sp,802.3ad-4NICs-layer2,484.85
sp,802.3ad-4NICs-layer2,472.49
sp,802.3ad-4NICs-layer2,473.34
sp,802.3ad-4NICs-layer2,488.54
sp,802.3ad-4NICs-layer2,467.73
sp,802.3ad-4NICs-layer2,478.10
sp,802.3ad-4NICs-layer2,478.18
sp,802.3ad-4NICs-layer2,470.75
sp,802.3ad-4NICs-layer2,451.88
sp,802.3ad-4NICs-layer2,467.73
sp,802.3ad-4NICs-layer2,451.62
sp,802.3ad-4NICs-layer2,461.05
sp,802.3ad-4NICs-layer2,487.55
sp,802.3ad-4NICs-layer2,468.92
sp,802.3ad-4NICs-layer2,480.56
sp,802.3ad-4NICs-layer2,456.61
sp,802.3ad-4NICs-layer2,469.38
sp,802.3ad-4NICs-layer2,476.91
sp,802.3ad-4NICs-layer2,450.61
bt,802.3ad-4NICs-layer2,451.41
bt,802.3ad-4NICs-layer2,439.63
bt,802.3ad-4NICs-layer2,408.47
bt,802.3ad-4NICs-layer2,438.34
bt,802.3ad-4NICs-layer2,442.81
bt,802.3ad-4NICs-layer2,450.82
bt,802.3ad-4NICs-layer2,452.63
bt,802.3ad-4NICs-layer2,463.86
bt,802.3ad-4NICs-layer2,434.10
bt,802.3ad-4NICs-layer2,443.60
bt,802.3ad-4NICs-layer2,436.65
bt,802.3ad-4NICs-layer2,442.76
bt,802.3ad-4NICs-layer2,450.81
bt,802.3ad-4NICs-layer2,445.22
bt,802.3ad-4NICs-layer2,433.28
bt,802.3ad-4NICs-layer2,445.27
bt,802.3ad-4NICs-layer2,448.84
bt,802.3ad-4NICs-layer2,454.84
bt,802.3ad-4NICs-layer2,439.89
bt,802.3ad-4NICs-layer2,451.06
bt,802.3ad-4NICs-layer2,458.52
bt,802.3ad-4NICs-layer2,450.70
bt,802.3ad-4NICs-layer2,453.60
bt,802.3ad-4NICs-layer2,410.92
bt,802.3ad-4NICs-layer2,529.63
bt,802.3ad-4NICs-layer2,443.85
bt,802.3ad-4NICs-layer2,447.58
bt,802.3ad-4NICs-layer2,440.58
bt,802.3ad-4NICs-layer2,450.58
bt,802.3ad-4NICs-layer2,448.28
sp,802.3ad-4NICs-layer2,511.15
sp,802.3ad-4NICs-layer2,505.58
sp,802.3ad-4NICs-layer2,491.73
sp,802.3ad-4NICs-layer2,510.41
sp,802.3ad-4NICs-layer2,505.66
sp,802.3ad-4NICs-layer2,484.36
sp,802.3ad-4NICs-layer2,502.59
sp,802.3ad-4NICs-layer2,487.30
sp,802.3ad-4NICs-layer2,478.47
sp,802.3ad-4NICs-layer2,501.82
sp,802.3ad-4NICs-layer2,523.19
sp,802.3ad-4NICs-layer2,497.35
sp,802.3ad-4NICs-layer2,501.43
sp,802.3ad-4NICs-layer2,518.02
sp,802.3ad-4NICs-layer2,506.92
sp,802.3ad-4NICs-layer2,516.75
sp,802.3ad-4NICs-layer2,496.38
sp,802.3ad-4NICs-layer2,514.25
sp,802.3ad-4NICs-layer2,515.04
sp,802.3ad-4NICs-layer2,512.83
sp,802.3ad-4NICs-layer2,511.88
sp,802.3ad-4NICs-layer2,511.67
sp,802.3ad-4NICs-layer2,507.69
sp,802.3ad-4NICs-layer2,496.66
sp,802.3ad-4NICs-layer2,503.79
sp,802.3ad-4NICs-layer2,505.03
sp,802.3ad-4NICs-layer2,476.96
sp,802.3ad-4NICs-layer2,510.79
sp,802.3ad-4NICs-layer2,498.61
sp,802.3ad-4NICs-layer2,484.87
bt,802.3ad-4NICs-layer2,428.05
bt,802.3ad-4NICs-layer2,456.08
bt,802.3ad-4NICs-layer2,425.41
bt,802.3ad-4NICs-layer2,429.97
bt,802.3ad-4NICs-layer2,423.89
bt,802.3ad-4NICs-layer2,428.85
bt,802.3ad-4NICs-layer2,430.37
bt,802.3ad-4NICs-layer2,420.38
bt,802.3ad-4NICs-layer2,430.99
bt,802.3ad-4NICs-layer2,429.25
bt,802.3ad-4NICs-layer2,442.70
bt,802.3ad-4NICs-layer2,452.29
bt,802.3ad-4NICs-layer2,437.62
bt,802.3ad-4NICs-layer2,426.58
bt,802.3ad-4NICs-layer2,417.96
bt,802.3ad-4NICs-layer2,430.68
bt,802.3ad-4NICs-layer2,432.81
bt,802.3ad-4NICs-layer2,425.01
bt,802.3ad-4NICs-layer2,430.63
bt,802.3ad-4NICs-layer2,426.17
bt,802.3ad-4NICs-layer2,424.01
bt,802.3ad-4NICs-layer2,434.63
bt,802.3ad-4NICs-layer2,426.97
bt,802.3ad-4NICs-layer2,424.10
bt,802.3ad-4NICs-layer2,425.09
bt,802.3ad-4NICs-layer2,416.18
bt,802.3ad-4NICs-layer2,429.33
bt,802.3ad-4NICs-layer2,423.23
bt,802.3ad-4NICs-layer2,416.30
bt,802.3ad-4NICs-layer2,420.86
sp,802.3ad-4NICs-layer2,612.61
sp,802.3ad-4NICs-layer2,576.32
sp,802.3ad-4NICs-layer2,607.75
sp,802.3ad-4NICs-layer2,556.96
sp,802.3ad-4NICs-layer2,560.86
sp,802.3ad-4NICs-layer2,587.60
sp,802.3ad-4NICs-layer2,577.30
sp,802.3ad-4NICs-layer2,581.79
sp,802.3ad-4NICs-layer2,593.33
sp,802.3ad-4NICs-layer2,597.70
sp,802.3ad-4NICs-layer2,574.11
sp,802.3ad-4NICs-layer2,616.14
sp,802.3ad-4NICs-layer2,587.93
sp,802.3ad-4NICs-layer2,594.67
sp,802.3ad-4NICs-layer2,619.78
sp,802.3ad-4NICs-layer2,582.81
sp,802.3ad-4NICs-layer2,588.30
sp,802.3ad-4NICs-layer2,590.43
sp,802.3ad-4NICs-layer2,594.03
sp,802.3ad-4NICs-layer2,572.18
sp,802.3ad-4NICs-layer2,586.01
sp,802.3ad-4NICs-layer2,593.18
sp,802.3ad-4NICs-layer2,591.44
sp,802.3ad-4NICs-layer2,569.71
sp,802.3ad-4NICs-layer2,587.72
sp,802.3ad-4NICs-layer2,589.53
sp,802.3ad-4NICs-layer2,588.78
sp,802.3ad-4NICs-layer2,591.16
sp,802.3ad-4NICs-layer2,581.09
sp,802.3ad-4NICs-layer2,586.56
bt,802.3ad-4NICs-layer2,485.57
bt,802.3ad-4NICs-layer2,481.62
bt,802.3ad-4NICs-layer2,488.59
bt,802.3ad-4NICs-layer2,502.86
bt,802.3ad-4NICs-layer2,488.34
bt,802.3ad-4NICs-layer2,484.74
bt,802.3ad-4NICs-layer2,462.41
bt,802.3ad-4NICs-layer2,449.33
bt,802.3ad-4NICs-layer2,443.36
bt,802.3ad-4NICs-layer2,475.57
bt,802.3ad-4NICs-layer2,460.12
bt,802.3ad-4NICs-layer2,486.55
bt,802.3ad-4NICs-layer2,487.82
bt,802.3ad-4NICs-layer2,462.52
bt,802.3ad-4NICs-layer2,461.64
bt,802.3ad-4NICs-layer2,485.39
bt,802.3ad-4NICs-layer2,491.00
bt,802.3ad-4NICs-layer2,479.14
bt,802.3ad-4NICs-layer2,481.93
bt,802.3ad-4NICs-layer2,453.21
bt,802.3ad-4NICs-layer2,486.84
bt,802.3ad-4NICs-layer2,494.43
bt,802.3ad-4NICs-layer2,467.61
bt,802.3ad-4NICs-layer2,482.47
bt,802.3ad-4NICs-layer2,476.31
bt,802.3ad-4NICs-layer2,466.56
bt,802.3ad-4NICs-layer2,468.95
bt,802.3ad-4NICs-layer2,482.05
bt,802.3ad-4NICs-layer2,476.42
bt,802.3ad-4NICs-layer2,490.33
sp,802.3ad-4NICs-layer2,478.35
sp,802.3ad-4NICs-layer2,476.86
sp,802.3ad-4NICs-layer2,486.36
sp,802.3ad-4NICs-layer2,473.62
sp,802.3ad-4NICs-layer2,517.16
sp,802.3ad-4NICs-layer2,493.25
sp,802.3ad-4NICs-layer2,448.50
sp,802.3ad-4NICs-layer2,481.66
sp,802.3ad-4NICs-layer2,489.23
sp,802.3ad-4NICs-layer2,479.35
sp,802.3ad-4NICs-layer2,490.87
sp,802.3ad-4NICs-layer2,497.44
sp,802.3ad-4NICs-layer2,488.95
sp,802.3ad-4NICs-layer2,471.43
sp,802.3ad-4NICs-layer2,480.40
sp,802.3ad-4NICs-layer2,479.50
sp,802.3ad-4NICs-layer2,482.97
sp,802.3ad-4NICs-layer2,491.59
sp,802.3ad-4NICs-layer2,491.37
sp,802.3ad-4NICs-layer2,470.13
sp,802.3ad-4NICs-layer2,489.26
sp,802.3ad-4NICs-layer2,467.52
sp,802.3ad-4NICs-layer2,495.47
sp,802.3ad-4NICs-layer2,493.72
sp,802.3ad-4NICs-layer2,475.45
sp,802.3ad-4NICs-layer2,458.52
sp,802.3ad-4NICs-layer2,459.48
sp,802.3ad-4NICs-layer2,474.29
sp,802.3ad-4NICs-layer2,476.11
sp,802.3ad-4NICs-layer2,469.23
is,802.3ad-4NICs-layer2,43.96
is,802.3ad-4NICs-layer2,42.64
is,802.3ad-4NICs-layer2,44.73
is,802.3ad-4NICs-layer2,46.81
is,802.3ad-4NICs-layer2,44.50
is,802.3ad-4NICs-layer2,43.82
is,802.3ad-4NICs-layer2,44.62
is,802.3ad-4NICs-layer2,42.49
is,802.3ad-4NICs-layer2,45.08
is,802.3ad-4NICs-layer2,46.17
is,802.3ad-4NICs-layer2,41.22
is,802.3ad-4NICs-layer2,43.44
is,802.3ad-4NICs-layer2,46.52
is,802.3ad-4NICs-layer2,43.92
is,802.3ad-4NICs-layer2,45.67
is,802.3ad-4NICs-layer2,47.54
is,802.3ad-4NICs-layer2,44.95
is,802.3ad-4NICs-layer2,44.50
is,802.3ad-4NICs-layer2,45.63
is,802.3ad-4NICs-layer2,44.41
is,802.3ad-4NICs-layer2,42.82
is,802.3ad-4NICs-layer2,46.62
is,802.3ad-4NICs-layer2,45.95
is,802.3ad-4NICs-layer2,44.05
is,802.3ad-4NICs-layer2,43.63
is,802.3ad-4NICs-layer2,45.07
is,802.3ad-4NICs-layer2,45.95
is,802.3ad-4NICs-layer2,44.70
is,802.3ad-4NICs-layer2,43.27
is,802.3ad-4NICs-layer2,45.29
ft,802.3ad-4NICs-layer2,231.06
ft,802.3ad-4NICs-layer2,223.24
ft,802.3ad-4NICs-layer2,208.06
ft,802.3ad-4NICs-layer2,212.11
ft,802.3ad-4NICs-layer2,216.69
ft,802.3ad-4NICs-layer2,211.54
ft,802.3ad-4NICs-layer2,203.47
ft,802.3ad-4NICs-layer2,208.38
ft,802.3ad-4NICs-layer2,227.86
ft,802.3ad-4NICs-layer2,210.29
ft,802.3ad-4NICs-layer2,229.46
ft,802.3ad-4NICs-layer2,219.19
ft,802.3ad-4NICs-layer2,217.37
ft,802.3ad-4NICs-layer2,240.50
ft,802.3ad-4NICs-layer2,210.51
ft,802.3ad-4NICs-layer2,220.68
ft,802.3ad-4NICs-layer2,210.44
ft,802.3ad-4NICs-layer2,236.10
ft,802.3ad-4NICs-layer2,246.12
ft,802.3ad-4NICs-layer2,212.95
ft,802.3ad-4NICs-layer2,260.04
ft,802.3ad-4NICs-layer2,217.86
ft,802.3ad-4NICs-layer2,206.30
ft,802.3ad-4NICs-layer2,213.74
ft,802.3ad-4NICs-layer2,209.58
ft,802.3ad-4NICs-layer2,244.13
ft,802.3ad-4NICs-layer2,257.63
ft,802.3ad-4NICs-layer2,223.10
ft,802.3ad-4NICs-layer2,207.63
ft,802.3ad-4NICs-layer2,210.00
is,802.3ad-4NICs-layer2,43.11
is,802.3ad-4NICs-layer2,45.36
is,802.3ad-4NICs-layer2,43.35
is,802.3ad-4NICs-layer2,46.16
is,802.3ad-4NICs-layer2,46.53
is,802.3ad-4NICs-layer2,43.69
is,802.3ad-4NICs-layer2,45.26
is,802.3ad-4NICs-layer2,46.19
is,802.3ad-4NICs-layer2,45.17
is,802.3ad-4NICs-layer2,44.31
is,802.3ad-4NICs-layer2,43.40
is,802.3ad-4NICs-layer2,43.95
is,802.3ad-4NICs-layer2,42.15
is,802.3ad-4NICs-layer2,44.56
is,802.3ad-4NICs-layer2,42.63
is,802.3ad-4NICs-layer2,42.95
is,802.3ad-4NICs-layer2,45.74
is,802.3ad-4NICs-layer2,45.46
is,802.3ad-4NICs-layer2,47.53
is,802.3ad-4NICs-layer2,45.46
is,802.3ad-4NICs-layer2,43.23
is,802.3ad-4NICs-layer2,42.66
is,802.3ad-4NICs-layer2,45.62
is,802.3ad-4NICs-layer2,44.65
is,802.3ad-4NICs-layer2,45.22
is,802.3ad-4NICs-layer2,42.76
is,802.3ad-4NICs-layer2,46.37
is,802.3ad-4NICs-layer2,46.06
is,802.3ad-4NICs-layer2,46.93
is,802.3ad-4NICs-layer2,43.38
ft,802.3ad-4NICs-layer2,219.77
ft,802.3ad-4NICs-layer2,227.07
ft,802.3ad-4NICs-layer2,243.88
ft,802.3ad-4NICs-layer2,220.36
ft,802.3ad-4NICs-layer2,224.94
ft,802.3ad-4NICs-layer2,215.00
ft,802.3ad-4NICs-layer2,207.36
ft,802.3ad-4NICs-layer2,215.13
ft,802.3ad-4NICs-layer2,211.37
ft,802.3ad-4NICs-layer2,215.65
ft,802.3ad-4NICs-layer2,211.01
ft,802.3ad-4NICs-layer2,205.61
ft,802.3ad-4NICs-layer2,206.47
ft,802.3ad-4NICs-layer2,208.55
ft,802.3ad-4NICs-layer2,207.73
ft,802.3ad-4NICs-layer2,232.10
ft,802.3ad-4NICs-layer2,209.62
ft,802.3ad-4NICs-layer2,215.87
ft,802.3ad-4NICs-layer2,210.73
ft,802.3ad-4NICs-layer2,212.91
ft,802.3ad-4NICs-layer2,217.02
ft,802.3ad-4NICs-layer2,230.20
ft,802.3ad-4NICs-layer2,224.06
ft,802.3ad-4NICs-layer2,209.13
ft,802.3ad-4NICs-layer2,204.38
ft,802.3ad-4NICs-layer2,209.69
ft,802.3ad-4NICs-layer2,210.91
ft,802.3ad-4NICs-layer2,206.65
ft,802.3ad-4NICs-layer2,227.88
ft,802.3ad-4NICs-layer2,208.93
bt,802.3ad-4NICs-layer2,510.61
bt,802.3ad-4NICs-layer2,509.10
bt,802.3ad-4NICs-layer2,514.78
bt,802.3ad-4NICs-layer2,496.78
bt,802.3ad-4NICs-layer2,514.66
bt,802.3ad-4NICs-layer2,545.98
bt,802.3ad-4NICs-layer2,524.55
bt,802.3ad-4NICs-layer2,549.02
bt,802.3ad-4NICs-layer2,543.49
bt,802.3ad-4NICs-layer2,539.66
bt,802.3ad-4NICs-layer2,525.43
bt,802.3ad-4NICs-layer2,525.77
bt,802.3ad-4NICs-layer2,507.54
bt,802.3ad-4NICs-layer2,517.14
bt,802.3ad-4NICs-layer2,567.95
bt,802.3ad-4NICs-layer2,523.03
bt,802.3ad-4NICs-layer2,497.43
bt,802.3ad-4NICs-layer2,517.98
bt,802.3ad-4NICs-layer2,497.94
bt,802.3ad-4NICs-layer2,505.17
bt,802.3ad-4NICs-layer2,497.20
bt,802.3ad-4NICs-layer2,506.91
bt,802.3ad-4NICs-layer2,507.75
bt,802.3ad-4NICs-layer2,493.49
bt,802.3ad-4NICs-layer2,538.84
bt,802.3ad-4NICs-layer2,500.88
bt,802.3ad-4NICs-layer2,502.79
bt,802.3ad-4NICs-layer2,503.84
bt,802.3ad-4NICs-layer2,505.09
bt,802.3ad-4NICs-layer2,556.82
sp,802.3ad-4NICs-layer2,806.92
sp,802.3ad-4NICs-layer2,783.61
sp,802.3ad-4NICs-layer2,886.08
sp,802.3ad-4NICs-layer2,753.58
sp,802.3ad-4NICs-layer2,782.06
sp,802.3ad-4NICs-layer2,809.61
sp,802.3ad-4NICs-layer2,795.49
sp,802.3ad-4NICs-layer2,786.72
sp,802.3ad-4NICs-layer2,777.23
sp,802.3ad-4NICs-layer2,780.02
sp,802.3ad-4NICs-layer2,764.91
sp,802.3ad-4NICs-layer2,794.31
sp,802.3ad-4NICs-layer2,809.67
sp,802.3ad-4NICs-layer2,805.50
sp,802.3ad-4NICs-layer2,752.48
sp,802.3ad-4NICs-layer2,736.02
sp,802.3ad-4NICs-layer2,767.85
sp,802.3ad-4NICs-layer2,826.09
sp,802.3ad-4NICs-layer2,813.61
sp,802.3ad-4NICs-layer2,835.42
sp,802.3ad-4NICs-layer2,869.51
sp,802.3ad-4NICs-layer2,801.83
sp,802.3ad-4NICs-layer2,769.33
sp,802.3ad-4NICs-layer2,764.21
sp,802.3ad-4NICs-layer2,831.42
sp,802.3ad-4NICs-layer2,784.83
sp,802.3ad-4NICs-layer2,758.67
sp,802.3ad-4NICs-layer2,802.19
sp,802.3ad-4NICs-layer2,785.39
sp,802.3ad-4NICs-layer2,757.66
bt,802.3ad-4NICs-layer2,525.45
bt,802.3ad-4NICs-layer2,538.61
bt,802.3ad-4NICs-layer2,521.43
bt,802.3ad-4NICs-layer2,541.37
bt,802.3ad-4NICs-layer2,523.13
bt,802.3ad-4NICs-layer2,529.88
bt,802.3ad-4NICs-layer2,611.38
bt,802.3ad-4NICs-layer2,573.95
bt,802.3ad-4NICs-layer2,521.67
bt,802.3ad-4NICs-layer2,541.36
bt,802.3ad-4NICs-layer2,536.20
bt,802.3ad-4NICs-layer2,519.98
bt,802.3ad-4NICs-layer2,548.81
bt,802.3ad-4NICs-layer2,558.67
bt,802.3ad-4NICs-layer2,650.08
bt,802.3ad-4NICs-layer2,545.66
bt,802.3ad-4NICs-layer2,515.94
bt,802.3ad-4NICs-layer2,497.82
bt,802.3ad-4NICs-layer2,506.83
