apps,bondmode,bytes,time,mbytes-sec
intel,Balance_Round_Robin-4NICs-layer2,2097152,1624.35,1291.07
intel,Balance_Round_Robin-4NICs-layer2,4194304,3274.41,1280.94
intel,Balance_Round_Robin-4NICs-layer2,0,24.91,0.00
intel,Balance_Round_Robin-4NICs-layer2,1,25.64,0.04
intel,Balance_Round_Robin-4NICs-layer2,2,26.25,0.08
intel,Balance_Round_Robin-4NICs-layer2,4,25.99,0.15
intel,Balance_Round_Robin-4NICs-layer2,8,25.88,0.31
intel,Balance_Round_Robin-4NICs-layer2,16,25.96,0.62
intel,Balance_Round_Robin-4NICs-layer2,32,26.06,1.23
intel,Balance_Round_Robin-4NICs-layer2,64,26.51,2.41
intel,Balance_Round_Robin-4NICs-layer2,128,26.22,4.88
intel,Balance_Round_Robin-4NICs-layer2,256,26.53,9.65
intel,Balance_Round_Robin-4NICs-layer2,512,27.13,18.88
intel,Balance_Round_Robin-4NICs-layer2,1024,28.59,35.82
intel,Balance_Round_Robin-4NICs-layer2,2048,31.92,64.16
intel,Balance_Round_Robin-4NICs-layer2,4096,39.20,104.49
intel,Balance_Round_Robin-4NICs-layer2,8192,45.33,180.74
intel,Balance_Round_Robin-4NICs-layer2,16384,68.85,237.95
intel,Balance_Round_Robin-4NICs-layer2,32768,62.31,525.91
intel,Balance_Round_Robin-4NICs-layer2,65536,110.61,592.51
intel,Balance_Round_Robin-4NICs-layer2,131072,164.60,796.33
intel,Balance_Round_Robin-4NICs-layer2,262144,259.08,1011.82
intel,Balance_Round_Robin-4NICs-layer2,524288,431.10,1216.15
intel,Balance_Round_Robin-4NICs-layer2,1048576,791.66,1324.53
intel,Balance_Round_Robin-4NICs-layer2,2097152,1622.71,1292.37
intel,Balance_Round_Robin-4NICs-layer2,4194304,3220.54,1302.36
intel,Balance_Round_Robin-4NICs-layer2,0,25.52,0.00
intel,Balance_Round_Robin-4NICs-layer2,1,26.39,0.04
intel,Balance_Round_Robin-4NICs-layer2,2,26.17,0.08
intel,Balance_Round_Robin-4NICs-layer2,4,26.23,0.15
intel,Balance_Round_Robin-4NICs-layer2,8,26.22,0.31
intel,Balance_Round_Robin-4NICs-layer2,16,26.42,0.61
intel,Balance_Round_Robin-4NICs-layer2,32,26.55,1.21
intel,Balance_Round_Robin-4NICs-layer2,64,26.70,2.40
intel,Balance_Round_Robin-4NICs-layer2,128,26.98,4.74
intel,Balance_Round_Robin-4NICs-layer2,256,27.15,9.43
intel,Balance_Round_Robin-4NICs-layer2,512,27.89,18.36
intel,Balance_Round_Robin-4NICs-layer2,1024,28.84,35.51
intel,Balance_Round_Robin-4NICs-layer2,2048,32.14,63.73
intel,Balance_Round_Robin-4NICs-layer2,4096,39.63,103.34
intel,Balance_Round_Robin-4NICs-layer2,8192,45.61,179.61
intel,Balance_Round_Robin-4NICs-layer2,16384,51.80,316.30
intel,Balance_Round_Robin-4NICs-layer2,32768,85.51,383.22
intel,Balance_Round_Robin-4NICs-layer2,65536,179.17,365.77
intel,Balance_Round_Robin-4NICs-layer2,131072,165.78,790.65
intel,Balance_Round_Robin-4NICs-layer2,262144,259.07,1011.86
intel,Balance_Round_Robin-4NICs-layer2,524288,437.49,1198.41
intel,Balance_Round_Robin-4NICs-layer2,1048576,800.96,1309.14
intel,Balance_Round_Robin-4NICs-layer2,2097152,1627.26,1288.76
intel,Balance_Round_Robin-4NICs-layer2,4194304,3214.26,1304.91
